latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.3475,-62.4848,309.8,3.2,1.7,2014-01-01,0215,Terra,MODIS,78,6.2,289.9,40.4,N,0
-18.3445,-62.4799,307.6,3.2,1.7,2014-01-01,0215,Terra,MODIS,72,6.2,289.9,32.3,N,0
-18.3474,-62.51,316.7,3.2,1.7,2014-01-01,0215,Terra,MODIS,94,6.2,290,70.2,N,0
-18.3507,-62.5149,313.6,3.2,1.7,2014-01-01,0215,Terra,MODIS,87,6.2,290,55.9,N,0
-18.3442,-62.5147,303.9,1.2,1.1,2014-01-01,0522,Aqua,MODIS,19,6.2,283.2,6,N,0
-16.7577,-62.2931,303.9,1.2,1.1,2014-01-02,0259,Terra,MODIS,58,6.2,291,5.2,N,0
-12.5293,-66.6126,319,1.1,1.1,2014-01-02,1818,Aqua,MODIS,52,6.2,298.4,7.8,D,0
-13.1078,-67.4577,315.8,1,1,2014-01-02,1818,Aqua,MODIS,47,6.2,293.7,7.4,D,0
-12.6878,-66.3145,322.7,1.2,1.1,2014-01-02,1818,Aqua,MODIS,49,6.2,292.7,13.8,D,0
-12.5198,-66.6141,319,1.1,1.1,2014-01-02,1818,Aqua,MODIS,60,6.2,298.7,7.8,D,0
-18.0578,-61.9381,320.1,1.9,1.3,2014-01-03,0510,Aqua,MODIS,100,6.2,290.3,40,N,0
-18.4209,-62.1791,303.5,1.9,1.3,2014-01-03,0510,Aqua,MODIS,55,6.2,289.6,10.4,N,0
-18.0993,-61.982,308.9,1.9,1.3,2014-01-03,0510,Aqua,MODIS,76,6.2,289.9,18.1,N,0
-18.0962,-61.9995,312,1.9,1.3,2014-01-03,0510,Aqua,MODIS,84,6.2,290.1,24.2,N,0
-18.0608,-61.9513,316.9,1.9,1.3,2014-01-03,0510,Aqua,MODIS,94,6.2,289.9,33,N,0
-18.3375,-62.4784,306.3,2,1.4,2014-01-03,0510,Aqua,MODIS,68,6.2,288.9,15.1,N,0
-18.0638,-61.934,309.5,1.9,1.3,2014-01-03,0510,Aqua,MODIS,77,6.2,289.9,18.3,N,0
-18.0547,-61.9554,310.2,1.9,1.3,2014-01-03,0510,Aqua,MODIS,79,6.2,289.8,19.8,N,0
-18.3404,-62.4841,307.5,2,1.4,2014-01-03,0510,Aqua,MODIS,72,6.2,289,18.2,N,0
-15.4826,-60.3781,322.3,2,1.4,2014-01-03,1722,Aqua,MODIS,79,6.2,291.1,41.3,D,0
-21.9163,-63.8464,308.1,1,1,2014-01-04,1803,Aqua,MODIS,26,6.2,289.5,6.1,D,0
-16.5356,-58.7639,319.2,2,1.4,2014-01-04,1804,Aqua,MODIS,61,6.2,289.2,28.2,D,0
-21.8957,-63.2077,306.6,1.1,1,2014-01-06,0541,Aqua,MODIS,68,6.2,287.8,8.5,N,0
-13.0778,-66.5765,326.5,1.4,1.2,2014-01-06,1504,Terra,MODIS,70,6.2,293.1,30.3,D,0
-13.0716,-66.583,322.1,1.4,1.2,2014-01-06,1504,Terra,MODIS,78,6.2,293.8,24,D,0
-13.0733,-66.57,320.3,1.4,1.2,2014-01-06,1504,Terra,MODIS,76,6.2,293.7,20.7,D,0
-17.4026,-63.5612,324.5,1.1,1,2014-01-06,1752,Aqua,MODIS,78,6.2,299.7,15.1,D,0
-18.2436,-62.5115,316,1,1,2014-01-06,1752,Aqua,MODIS,56,6.2,297.6,5.8,D,0
-18.2263,-62.7932,343.3,1,1,2014-01-06,1752,Aqua,MODIS,92,6.2,299.7,41.4,D,0
-18.2277,-62.8031,344.4,1,1,2014-01-06,1752,Aqua,MODIS,92,6.2,299.4,44.3,D,0
-18.2171,-62.7946,318.1,1,1,2014-01-06,1752,Aqua,MODIS,44,6.2,298,6.2,D,0
-17.404,-63.5715,322.8,1.1,1,2014-01-06,1752,Aqua,MODIS,76,6.2,299.2,13,D,0
-12.5892,-66.7067,318.3,1.4,1.2,2014-01-06,1754,Aqua,MODIS,73,6.2,296.1,15.7,D,0
-18.4201,-62.679,315.6,1.6,1.2,2014-01-07,1410,Terra,MODIS,64,6.2,295.2,12.3,D,0
