latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.0969,-63.7563,302.2,2.6,1.5,2001-01-01,0340,Terra,MODIS,47,6.2,278.8,24.2,N,0
-16.7884,-59.0733,321.3,1.1,1,2001-01-01,1434,Terra,MODIS,32,6.2,303.6,10.4,D,0
-17.2294,-60.8648,314.4,1,1,2001-01-01,1434,Terra,MODIS,41,6.2,297.2,4.3,D,0
-17.2308,-60.8554,316.7,1,1,2001-01-01,1434,Terra,MODIS,61,6.2,299,6.6,D,0
-17.544,-61.7148,322,1,1,2001-01-01,1434,Terra,MODIS,24,6.2,302.2,10.2,D,0
-21.0892,-63.7531,322.5,1.1,1.1,2001-01-01,1435,Terra,MODIS,74,6.2,300.5,14.8,D,0
-21.0986,-63.7549,331.1,1.1,1.1,2001-01-01,1435,Terra,MODIS,83,6.2,299.8,26.3,D,0
-17.8217,-61.5347,308.5,1.2,1.1,2001-01-02,0246,Terra,MODIS,63,6.2,293.1,7.9,N,0
-17.8231,-61.5464,307.1,1.2,1.1,2001-01-02,0246,Terra,MODIS,46,6.2,292.8,6.6,N,0
-17.8224,-61.5409,309.6,1.2,1.1,2001-01-02,0246,Terra,MODIS,68,6.2,293,9.1,N,0
-12.9422,-66.9402,313.9,1.3,1.1,2001-01-02,1516,Terra,MODIS,66,6.2,290.1,9.7,D,0
-13.5932,-66.7322,339.8,1.4,1.2,2001-01-02,1516,Terra,MODIS,91,6.2,293.3,59.2,D,0
-13.5949,-66.7193,322.2,1.4,1.2,2001-01-02,1516,Terra,MODIS,60,6.2,293.9,19,D,0
-13.6072,-66.7077,327.1,1.4,1.2,2001-01-02,1516,Terra,MODIS,68,6.2,294.2,26.4,D,0
-13.6089,-66.6947,321.1,1.4,1.2,2001-01-02,1516,Terra,MODIS,24,6.2,293.3,16.2,D,0
-13.6135,-66.7018,330.5,1.4,1.2,2001-01-02,1516,Terra,MODIS,85,6.2,293.8,35.7,D,0
-21.0926,-63.7437,304.2,1.6,1.2,2001-01-03,0328,Terra,MODIS,59,6.2,293.2,8.4,N,0
-21.0953,-63.7595,319,1.6,1.2,2001-01-03,0328,Terra,MODIS,98,6.2,293.9,29.5,N,0
-13.6115,-66.7207,307.5,1.3,1.1,2001-01-03,0330,Terra,MODIS,72,6.2,276.3,12.8,N,0
-13.6135,-66.7328,303.5,1.3,1.1,2001-01-03,0330,Terra,MODIS,56,6.2,272.7,9.3,N,0
-12.3018,-65.3904,304.9,1.7,1.3,2001-01-03,0331,Terra,MODIS,62,6.2,289.3,10.8,N,0
-13.6082,-66.7106,310.4,4,1.9,2001-01-03,1421,Terra,MODIS,56,6.2,285.8,39,D,0
-21.0991,-63.7496,328.9,1.7,1.3,2001-01-03,1423,Terra,MODIS,79,6.2,302.8,40,D,0
-21.0889,-63.748,308.1,3.3,1.7,2001-01-04,0233,Terra,MODIS,74,6.2,287.2,44.2,N,0
-21.7966,-63.3062,318.2,1.9,1.4,2001-01-04,1506,Terra,MODIS,45,6.2,296.2,21.7,D,0
-16.6038,-58.5473,319.4,2.2,1.4,2001-01-06,1452,Terra,MODIS,66,6.2,294.8,24.7,D,0
-16.6167,-58.5488,319.8,2.2,1.4,2001-01-06,1452,Terra,MODIS,66,6.2,294.7,26.7,D,0
-18.2124,-61.9058,313.5,1.3,1.1,2001-01-06,1452,Terra,MODIS,44,6.2,294.4,10.2,D,0
-18.2363,-62.0286,313.1,1.3,1.1,2001-01-06,1453,Terra,MODIS,55,6.2,294,10.5,D,0
-21.0979,-63.7504,311.8,1.1,1,2001-01-07,0304,Terra,MODIS,83,6.2,291.7,9.6,N,0
-21.0905,-63.7471,309.1,1.1,1,2001-01-07,0304,Terra,MODIS,76,6.2,290.5,8.1,N,0
-21.0918,-63.757,321,1.1,1,2001-01-07,0304,Terra,MODIS,100,6.2,291.3,19,N,0
-17.621,-57.8044,314.5,2.1,1.4,2001-01-07,1357,Terra,MODIS,0,6.2,295.4,20.2,D,0
-17.8334,-57.7195,316.4,2,1.4,2001-01-07,1357,Terra,MODIS,63,6.2,296.1,22,D,0
-21.0938,-63.7533,314.2,4.7,2,2001-01-07,1358,Terra,MODIS,62,6.2,294.9,63.4,D,0
-21.0912,-63.7598,312.6,4.7,2,2001-01-07,1358,Terra,MODIS,56,6.2,295,52.2,D,0
