latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.0982,-63.758,314.2,3.3,1.7,2000-11-01,0234,Terra,MODIS,89,6.2,293.1,63.4,N,2
-21.0873,-63.763,309.2,3.3,1.7,2000-11-01,0234,Terra,MODIS,77,6.2,292.7,44.1,N,0
-19.5143,-63.5268,301.2,3.1,1.7,2000-11-01,0234,Terra,MODIS,39,6.2,290.3,18.1,N,0
-19.5171,-63.5559,301.2,3.1,1.7,2000-11-01,0234,Terra,MODIS,38,6.2,290.2,18.2,N,0
-19.5155,-63.5333,306.6,3.1,1.7,2000-11-01,0234,Terra,MODIS,68,6.2,290.3,33.5,N,0
-17.442,-60.5133,309,1.7,1.3,2000-11-01,0235,Terra,MODIS,76,6.2,292.3,15.4,N,0
-17.4305,-60.5148,311,1.7,1.3,2000-11-01,0235,Terra,MODIS,81,6.2,292.3,17.8,N,0
-17.3474,-61.6937,309.3,2.1,1.4,2000-11-01,0235,Terra,MODIS,77,6.2,292.5,20.4,N,0
-17.2997,-62.4621,311.6,2.4,1.5,2000-11-01,0235,Terra,MODIS,83,6.2,291.8,30.5,N,0
-17.3045,-62.4669,308.1,2.4,1.5,2000-11-01,0235,Terra,MODIS,73,6.2,291.8,23.5,N,0
-17.2368,-62.3418,321.6,2.3,1.5,2000-11-01,0235,Terra,MODIS,100,6.2,292.4,59.8,N,0
-17.2392,-62.3635,314,2.3,1.5,2000-11-01,0235,Terra,MODIS,88,6.2,292.2,36.8,N,0
-17.2213,-62.3218,315.4,2.3,1.5,2000-11-01,0235,Terra,MODIS,91,6.2,292.3,41.1,N,0
-17.2236,-62.3434,303.8,2.3,1.5,2000-11-01,0235,Terra,MODIS,57,6.2,292.1,13.4,N,0
-17.2225,-62.3064,305.4,2.3,1.5,2000-11-01,0235,Terra,MODIS,64,6.2,292,15.8,N,0
-17.2249,-62.3279,313.6,2.3,1.5,2000-11-01,0235,Terra,MODIS,87,6.2,292.2,34.5,N,0
-17.2274,-62.3495,326.9,2.3,1.5,2000-11-01,0235,Terra,MODIS,100,6.2,292.3,78.2,N,0
-17.2468,-62.6397,304.4,2.4,1.5,2000-11-01,0235,Terra,MODIS,60,6.2,291.9,16.2,N,0
-16.9055,-63.0295,303.8,2.6,1.5,2000-11-01,0235,Terra,MODIS,57,6.2,290.7,18.7,N,0
-16.9139,-63.0352,303.9,2.6,1.5,2000-11-01,0235,Terra,MODIS,57,6.2,290.7,19.4,N,0
-16.9171,-64.0498,304.8,3.1,1.7,2000-11-01,0235,Terra,MODIS,41,6.2,290.1,22.9,N,0
-16.9154,-64.0259,302.6,3.1,1.7,2000-11-01,0235,Terra,MODIS,50,6.2,290.3,18.1,N,0
-16.2678,-60.9049,309.8,1.7,1.3,2000-11-01,0235,Terra,MODIS,78,6.2,285.6,19.8,N,0
-16.2006,-63.6757,317.3,2.8,1.6,2000-11-01,0235,Terra,MODIS,95,6.2,290.7,65.6,N,0
-16.1956,-63.655,304.1,2.8,1.6,2000-11-01,0235,Terra,MODIS,58,6.2,290.7,21.6,N,0
-16.1985,-63.6813,314.3,2.8,1.6,2000-11-01,0235,Terra,MODIS,89,6.2,290.7,54.5,N,0
-14.4757,-63.9087,303.1,2.8,1.6,2000-11-01,0236,Terra,MODIS,47,6.2,287.8,18.4,N,0
-14.1245,-65.9681,302.8,4,1.9,2000-11-01,0236,Terra,MODIS,44,6.2,287.7,30,N,0
-14.1079,-65.9699,309.5,4,1.9,2000-11-01,0236,Terra,MODIS,78,6.2,288.5,61.3,N,0
-12.4847,-66.8836,319.4,1,1,2000-11-01,1504,Terra,MODIS,25,6.2,295.5,9.7,D,0
-14.0333,-64.669,318.5,1.2,1.1,2000-11-01,1505,Terra,MODIS,53,6.2,295.8,11.9,D,0
-13.8298,-66.2922,323.8,1,1,2000-11-01,1505,Terra,MODIS,34,6.2,293.7,9.9,D,0
-13.8312,-66.2827,325.9,1,1,2000-11-01,1505,Terra,MODIS,41,6.2,296.1,12.4,D,0
-14.4846,-63.8866,324.1,1.4,1.2,2000-11-01,1505,Terra,MODIS,45,6.2,290.2,22.2,D,0
-14.6682,-65.8951,316,1.1,1,2000-11-01,1505,Terra,MODIS,65,6.2,287.5,8.6,D,0
-14.7167,-66.4542,309.2,1,1,2000-11-01,1505,Terra,MODIS,39,6.2,281.7,6.4,D,0
-15.2409,-63.9129,316.7,1.4,1.2,2000-11-01,1505,Terra,MODIS,71,6.2,294.8,13.1,D,0
-15.164,-64.6657,320.6,1.3,1.1,2000-11-01,1505,Terra,MODIS,46,6.2,292.6,11.6,D,0
-15.1656,-64.6541,326.4,1.3,1.1,2000-11-01,1505,Terra,MODIS,81,6.2,295,20.4,D,0
-15.174,-64.6671,322.2,1.3,1.1,2000-11-01,1505,Terra,MODIS,71,6.2,293.5,14.1,D,0
-15.3187,-64.0212,319.2,1.4,1.2,2000-11-01,1505,Terra,MODIS,29,6.2,297.3,19.4,D,0
-15.4938,-63.6189,312.9,1.5,1.2,2000-11-01,1505,Terra,MODIS,0,6.2,292.3,12.8,D,0
-15.251,-65.5985,321.3,1.1,1.1,2000-11-01,1505,Terra,MODIS,46,6.2,290.6,8.7,D,0
-15.8527,-63.2198,313.1,1.6,1.2,2000-11-01,1505,Terra,MODIS,54,6.2,286.6,15.7,D,0
-15.6445,-64.8803,319.5,1.2,1.1,2000-11-01,1505,Terra,MODIS,31,6.2,294.8,12.8,D,0
-15.9571,-64.4453,315,1.3,1.1,2000-11-01,1505,Terra,MODIS,28,6.2,292,11.4,D,0
-16.0097,-64.5827,315.4,1.3,1.1,2000-11-01,1505,Terra,MODIS,47,6.2,294.5,11.3,D,0
-15.9769,-65.3691,314.5,1.2,1.1,2000-11-01,1505,Terra,MODIS,67,6.2,283.3,13.1,D,0
-16.0895,-64.5131,315.4,1.3,1.1,2000-11-01,1505,Terra,MODIS,46,6.2,294.8,10.7,D,0
-16.1452,-64.4073,311.7,1.3,1.1,2000-11-01,1505,Terra,MODIS,32,6.2,290.2,8.4,D,0
-16.7299,-63.6973,312.7,1.5,1.2,2000-11-01,1505,Terra,MODIS,30,6.2,290.3,12.6,D,0
-16.9151,-64.0307,316.9,1.5,1.2,2000-11-01,1505,Terra,MODIS,47,6.2,293.4,13.8,D,0
