latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.5491,-61.8321,318.7,3.7,1.8,2012-01-01,1504,Terra,MODIS,74,6.2,290.4,72.1,D,0
-17.5605,-61.8494,329,1,1,2012-01-01,1751,Aqua,MODIS,72,6.2,298.1,14.5,D,0
-17.5413,-61.8389,339.4,1,1,2012-01-01,1751,Aqua,MODIS,79,6.2,294.2,31.6,D,0
-17.5516,-61.8468,348.3,1,1,2012-01-01,1751,Aqua,MODIS,92,6.2,302.5,47.1,D,0
-17.5503,-61.8374,341,1,1,2012-01-01,1751,Aqua,MODIS,65,6.2,300.5,33.9,D,0
-17.5348,-61.8405,318.3,2.5,1.5,2012-01-02,0316,Terra,MODIS,97,6.2,283.4,60.5,N,0
-17.5274,-61.8355,302.7,2.5,1.5,2012-01-02,0316,Terra,MODIS,51,6.2,283.6,18.5,N,0
-17.5484,-61.8377,305.9,2.5,1.5,2012-01-02,0316,Terra,MODIS,66,6.2,283.5,25.3,N,0
-17.5454,-61.856,310.5,2.5,1.5,2012-01-02,0316,Terra,MODIS,80,6.2,283.1,36.4,N,0
-17.541,-61.8327,311.4,2.5,1.5,2012-01-02,0316,Terra,MODIS,82,6.2,283.2,39.1,N,0
-17.5938,-62.2147,347,2.3,1.5,2012-01-03,0221,Terra,MODIS,100,6.2,297.8,182,N,0
-17.6501,-63.0158,302.6,2.6,1.6,2012-01-03,0221,Terra,MODIS,50,6.2,292.4,16.9,N,0
-17.6452,-63.0228,307.4,2.6,1.6,2012-01-03,0221,Terra,MODIS,71,6.2,292.6,30.5,N,0
-17.7055,-61.3492,303,2,1.4,2012-01-03,0221,Terra,MODIS,53,6.2,292.8,12.8,N,0
-17.5837,-62.2225,333.7,2.3,1.5,2012-01-03,0221,Terra,MODIS,100,6.2,297.7,107.4,N,0
-18.3173,-62.9781,306.4,2.6,1.6,2012-01-03,0221,Terra,MODIS,68,6.2,293.3,25.3,N,0
-18.3216,-62.9723,309.8,2.6,1.6,2012-01-03,0221,Terra,MODIS,78,6.2,293.4,36.4,N,0
-17.5813,-62.2013,316.4,2.3,1.5,2012-01-03,0221,Terra,MODIS,93,6.2,296,43.6,N,0
-17.5969,-62.2209,324.4,2.3,1.5,2012-01-03,0221,Terra,MODIS,100,6.2,297.1,69.2,N,0
-17.5944,-62.1997,313.9,2.3,1.5,2012-01-03,0221,Terra,MODIS,88,6.2,296.1,36.8,N,0
-17.5807,-62.2163,334.2,2.3,1.5,2012-01-03,0221,Terra,MODIS,100,6.2,297.3,109.4,N,0
-17.5919,-62.2068,315.6,1.1,1,2012-01-03,0527,Aqua,MODIS,91,6.2,294.7,14.4,N,0
-17.5812,-62.2151,315,1.1,1,2012-01-03,0527,Aqua,MODIS,90,6.2,295.3,13.8,N,0
-18.3117,-62.9688,304.1,1.1,1.1,2012-01-03,0527,Aqua,MODIS,58,6.2,292.6,6.3,N,0
-17.5904,-62.2167,307.9,1.1,1,2012-01-03,0527,Aqua,MODIS,73,6.2,294.3,8,N,0
-17.5275,-61.8392,309.1,1,1,2012-01-03,0527,Aqua,MODIS,76,6.2,293.4,9.6,N,0
-17.5827,-62.2052,309.2,1.1,1,2012-01-03,0527,Aqua,MODIS,77,6.2,294.4,9.1,N,0
-18.3134,-62.9584,303.8,1.1,1.1,2012-01-03,0527,Aqua,MODIS,57,6.2,292.8,6.2,N,0
-17.6403,-63.015,303.8,1.1,1.1,2012-01-03,0527,Aqua,MODIS,57,6.2,292.3,6.8,N,0
-17.6956,-61.3435,302.2,1,1,2012-01-03,0527,Aqua,MODIS,48,6.2,291.3,5.6,N,0
-17.5772,-61.8384,331,2.2,1.4,2012-01-03,1452,Terra,MODIS,79,6.2,303,47.5,D,0
-19.7401,-67.5947,314.8,1,1,2012-01-03,1453,Terra,MODIS,37,6.2,294.6,5.7,D,0
-19.6648,-63.0002,314.5,1.9,1.3,2012-01-03,1453,Terra,MODIS,52,6.2,300.5,15.6,D,0
-21.7386,-63.2792,320.1,1.8,1.3,2012-01-03,1738,Aqua,MODIS,66,6.2,306.4,22.4,D,0
-19.6596,-63.0167,317,1.6,1.3,2012-01-03,1738,Aqua,MODIS,50,6.2,303.7,13.9,D,0
-21.7405,-63.2969,325.1,1.8,1.3,2012-01-03,1738,Aqua,MODIS,75,6.2,307.2,34.4,D,0
-19.6579,-63.0011,318.7,1.6,1.3,2012-01-03,1738,Aqua,MODIS,65,6.2,305.1,16.6,D,0
-21.839,-63.3705,338.1,1.9,1.3,2012-01-03,1738,Aqua,MODIS,87,6.2,305.1,73.6,D,0
-21.7505,-63.2778,327,1.8,1.3,2012-01-03,1738,Aqua,MODIS,77,6.2,305.9,38.1,D,0
-19.6593,-63.0077,322.8,1.6,1.3,2012-01-03,1738,Aqua,MODIS,70,6.2,304.9,24.6,D,0
-16.9047,-62.7668,332.3,1.4,1.2,2012-01-03,1739,Aqua,MODIS,85,6.2,295.5,32.9,D,0
-16.9154,-62.7654,338.1,1.4,1.2,2012-01-03,1739,Aqua,MODIS,89,6.2,297.9,46.8,D,0
-18.7159,-58.8187,323.4,1,1,2012-01-03,1739,Aqua,MODIS,63,6.2,302.7,10.4,D,0
-18.4991,-58.3907,314.2,1,1,2012-01-03,1739,Aqua,MODIS,38,6.2,300.4,3.8,D,0
-16.9137,-62.7518,332.1,1.4,1.2,2012-01-03,1739,Aqua,MODIS,85,6.2,293.9,31.1,D,0
-21.7402,-63.2804,315.8,1.1,1,2012-01-04,0303,Terra,MODIS,92,6.2,294,15.6,N,0
-21.7418,-63.2909,311.1,1.1,1,2012-01-04,0303,Terra,MODIS,82,6.2,293.7,11.2,N,0
-21.8372,-63.3751,312.6,1.1,1,2012-01-04,0303,Terra,MODIS,85,6.2,293.2,12.5,N,0
-21.9963,-63.3981,305.1,1.1,1,2012-01-04,0303,Terra,MODIS,63,6.2,293.8,6.3,N,0
-21.8356,-63.3647,335.9,1.1,1,2012-01-04,0303,Terra,MODIS,100,6.2,294.8,41.5,N,0
-21.8449,-63.363,341.8,1.1,1,2012-01-04,0303,Terra,MODIS,100,6.2,296.2,52.2,N,0
