latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.635,-63.3665,304.3,2.4,1.5,2009-01-01,0227,Terra,MODIS,59,6.2,291.5,14.7,N,0
-21.638,-63.3656,303.8,1,1,2009-01-01,0538,Aqua,MODIS,57,6.2,288.6,5,N,0
-21.8909,-63.2693,305.3,1,1,2009-01-01,0538,Aqua,MODIS,34,6.2,291.3,6.3,N,0
-21.8894,-63.279,321.4,1,1,2009-01-01,0538,Aqua,MODIS,100,6.2,290.1,19.6,N,0
-21.8821,-63.271,306.2,1,1,2009-01-01,0538,Aqua,MODIS,59,6.2,291.6,6.6,N,0
-21.8807,-63.2806,305.6,1,1,2009-01-01,0538,Aqua,MODIS,46,6.2,291.7,6.8,N,0
-17.8093,-60.9198,316.9,1,1,2009-01-01,1749,Aqua,MODIS,69,6.2,288.8,10.4,D,0
-18.1554,-67.15,318.7,2.4,1.5,2009-01-01,1749,Aqua,MODIS,53,6.2,297.1,21.4,D,0
-17.9469,-62.1169,329.9,1.1,1.1,2009-01-01,1749,Aqua,MODIS,83,6.2,289.8,26.2,D,0
-17.9398,-62.1219,309.1,1.8,1.3,2009-01-02,0311,Terra,MODIS,76,6.2,287.1,18.4,N,0
-17.9369,-62.1051,303.1,1.8,1.3,2009-01-02,0311,Terra,MODIS,53,6.2,286.9,9.8,N,0
-16.2176,-60.6902,313.5,1.6,1.3,2009-01-02,1404,Terra,MODIS,30,6.2,295.1,13.1,D,0
-16.2202,-60.6749,316.7,1.6,1.3,2009-01-02,1404,Terra,MODIS,41,6.2,298.2,17.1,D,0
-12.6655,-66.6776,319.4,1.8,1.3,2009-01-02,1833,Aqua,MODIS,60,6.2,295.7,18.1,D,0
-13.3053,-66.312,321.7,1.8,1.3,2009-01-02,1833,Aqua,MODIS,74,6.2,294.6,26.1,D,0
-13.3081,-66.3287,321.6,1.8,1.3,2009-01-02,1833,Aqua,MODIS,74,6.2,294.5,25.8,D,0
-12.6731,-66.6694,322.3,1.8,1.3,2009-01-02,1833,Aqua,MODIS,73,6.2,295.3,24.5,D,0
-12.6629,-66.6615,327.4,1.8,1.3,2009-01-02,1833,Aqua,MODIS,80,6.2,295.5,38.6,D,0
-17.8077,-62.0808,312.7,1.2,1.1,2009-01-04,0259,Terra,MODIS,85,6.2,288.1,15.3,N,0
-18.481,-67.1019,325.3,1,1,2009-01-04,1820,Aqua,MODIS,64,6.2,309,11.1,D,0
