latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.1346,-62.0694,306.4,3,1.6,2015-01-01,0323,Terra,MODIS,18,6.2,291.4,21,N,0
-18.1292,-62.0414,310,3,1.6,2015-01-01,0323,Terra,MODIS,68,6.2,291.3,33.6,N,0
-17.053,-61.9519,304.4,3.2,1.7,2015-01-01,0323,Terra,MODIS,60,6.2,289.3,25.9,N,0
-17.0414,-61.9598,303.5,3.2,1.7,2015-01-01,0323,Terra,MODIS,55,6.2,289.7,21.6,N,0
-18.114,-62.6137,314.8,2.7,1.6,2015-01-01,0323,Terra,MODIS,90,6.2,291.7,47.7,N,0
-18.0643,-61.9425,312.7,3.1,1.7,2015-01-01,0323,Terra,MODIS,85,6.2,291.2,49.3,N,0
-18.1188,-62.6392,317.1,2.7,1.6,2015-01-01,0323,Terra,MODIS,94,6.2,291.9,56.1,N,0
-18.1154,-62.0497,308.5,3,1.6,2015-01-01,0323,Terra,MODIS,75,6.2,291.3,32.5,N,0
-18.1047,-62.6422,326.1,2.7,1.6,2015-01-01,0323,Terra,MODIS,100,6.2,291.9,95.3,N,0
-18.1301,-62.0465,310.6,3,1.6,2015-01-01,0323,Terra,MODIS,80,6.2,291.4,37.6,N,0
-17.8721,-62.0619,303.1,3,1.7,2015-01-01,0323,Terra,MODIS,53,6.2,291.4,17.6,N,0
-17.0458,-61.9331,301,4.3,1.9,2015-01-01,0451,Aqua,MODIS,37,6.2,289,27.2,N,0
-18.0578,-61.9405,302.3,4.1,1.9,2015-01-01,0451,Aqua,MODIS,48,6.2,289,28.3,N,0
-18.0696,-61.9386,304,4.1,1.9,2015-01-01,0451,Aqua,MODIS,58,6.2,289,35.8,N,0
-18.126,-62.0365,304.8,4.2,1.9,2015-01-01,0451,Aqua,MODIS,62,6.2,289.1,40,N,0
-18.1269,-62.045,304.9,4.2,1.9,2015-01-01,0451,Aqua,MODIS,62,6.2,288.9,40.5,N,0
-16.5533,-63.2523,325.6,1.5,1.2,2015-01-01,1415,Terra,MODIS,75,6.2,295.7,23.9,D,0
-17.2087,-60.4512,313.7,1.1,1,2015-01-01,1416,Terra,MODIS,56,6.2,296.5,6,D,0
-17.6812,-61.1473,320.5,1.1,1,2015-01-01,1416,Terra,MODIS,68,6.2,295.2,11.5,D,0
-20.1662,-68.5405,337.1,1.6,1.2,2015-01-01,1840,Aqua,MODIS,58,6.2,296.8,52.5,D,0
-20.1634,-68.5248,358.6,1.6,1.2,2015-01-01,1840,Aqua,MODIS,99,6.2,302.2,132.4,D,0
-17.6331,-60.4964,333.7,1.3,1.1,2015-01-02,0228,Terra,MODIS,100,6.2,293.5,46.7,N,0
-17.902,-61.565,307.4,1.6,1.2,2015-01-02,0228,Terra,MODIS,71,6.2,293.4,10.3,N,0
-18.0994,-62.6424,305.9,1.9,1.4,2015-01-02,0228,Terra,MODIS,18,6.2,291,11.8,N,0
-18.1116,-62.6409,328.9,1.9,1.4,2015-01-02,0228,Terra,MODIS,100,6.2,291.7,66,N,0
-18.1049,-62.6536,307.9,1.9,1.4,2015-01-02,0228,Terra,MODIS,73,6.2,291.3,15.8,N,0
-18.1029,-62.6354,319.1,1.9,1.4,2015-01-02,0228,Terra,MODIS,98,6.2,291.3,39,N,0
-18.1171,-62.652,311.5,1.9,1.4,2015-01-02,0228,Terra,MODIS,83,6.2,291.5,22.6,N,0
-18.1151,-62.6339,309.8,1.9,1.4,2015-01-02,0228,Terra,MODIS,78,6.2,291.5,19.6,N,0
-17.6108,-60.4866,313.3,1.3,1.1,2015-01-02,0228,Terra,MODIS,70,6.2,293.2,12.6,N,0
-18.0363,-62.6319,327.5,1.9,1.4,2015-01-02,0228,Terra,MODIS,100,6.2,287.9,65.1,N,0
-18.0343,-62.6139,310.6,1.9,1.3,2015-01-02,0228,Terra,MODIS,76,6.2,286.3,25.1,N,0
-17.6228,-60.4978,309.9,1.3,1.1,2015-01-02,0228,Terra,MODIS,77,6.2,293.1,9.6,N,0
-17.6212,-60.4852,306,1.3,1.1,2015-01-02,0228,Terra,MODIS,35,6.2,293,5.4,N,0
-17.6315,-60.4838,324.9,1.3,1.1,2015-01-02,0228,Terra,MODIS,100,6.2,293.4,29.4,N,0
-17.5929,-61.4643,339.9,1.6,1.2,2015-01-02,0228,Terra,MODIS,100,6.2,293.3,77.7,N,0
-17.595,-61.4726,328.1,1.6,1.2,2015-01-02,0228,Terra,MODIS,100,6.2,293.2,45.3,N,0
-17.5933,-61.458,333.7,1.6,1.2,2015-01-02,0228,Terra,MODIS,100,6.2,292.8,59.2,N,0
-17.8915,-61.5722,310.9,1.6,1.2,2015-01-02,0228,Terra,MODIS,81,6.2,293.2,14.7,N,0
-17.8908,-61.5665,304.7,1.6,1.2,2015-01-02,0228,Terra,MODIS,41,6.2,293.2,6.8,N,0
-18.0342,-62.6283,333.7,1,1,2015-01-02,0534,Aqua,MODIS,100,6.2,292,32.5,N,0
-18.0356,-62.6189,355.1,1,1,2015-01-02,0534,Aqua,MODIS,100,6.2,292.5,72.7,N,0
-18.1073,-62.6361,341.1,1,1,2015-01-02,0534,Aqua,MODIS,100,6.2,287.4,44.4,N,0
-17.8957,-61.5664,324.5,1,1,2015-01-02,0534,Aqua,MODIS,100,6.2,293.5,21.2,N,0
-18.1149,-62.647,314,1,1,2015-01-02,0534,Aqua,MODIS,82,6.2,285.2,11.7,N,0
-16.2312,-60.2703,312.4,1,1,2015-01-02,1746,Aqua,MODIS,45,6.2,292.2,5.1,D,0
-18.1325,-58.5497,322.4,1,1,2015-01-02,1746,Aqua,MODIS,66,6.2,292.7,13.4,D,0
-18.1233,-58.5512,322,1,1,2015-01-02,1746,Aqua,MODIS,66,6.2,293.7,12.4,D,0
-18.9843,-57.9126,302.2,1.5,1.2,2015-01-04,0215,Terra,MODIS,48,6.2,280,9,N,0
-12.2752,-66.5661,319.7,1,1,2015-01-04,1445,Terra,MODIS,61,6.2,294.4,8.8,D,0
-11.4834,-65.3282,317.7,1,1,2015-01-04,1445,Terra,MODIS,56,6.2,294.7,9.2,D,0
-11.4917,-65.3359,313.5,1,1,2015-01-04,1445,Terra,MODIS,46,6.2,293.4,6.9,D,0
-12.2843,-66.5675,319.1,1,1,2015-01-04,1445,Terra,MODIS,69,6.2,295.1,8.7,D,0
-12.2829,-66.5768,319.5,1,1,2015-01-04,1445,Terra,MODIS,67,6.2,295.9,9.3,D,0
-17.636,-60.4963,324.7,1.3,1.1,2015-01-04,1733,Aqua,MODIS,44,6.2,304,20.1,D,0
-11.4969,-65.3335,306.2,2.5,1.5,2015-01-04,1735,Aqua,MODIS,40,6.2,287.3,12.8,D,0
-18.2505,-62.5082,317.8,1.1,1,2015-01-05,0258,Terra,MODIS,96,6.2,291.3,17.4,N,0
-17.7316,-61.672,300.5,1.2,1.1,2015-01-05,0258,Terra,MODIS,28,6.2,288.2,3.8,N,0
-17.7334,-61.6833,309,1.2,1.1,2015-01-05,0258,Terra,MODIS,76,6.2,288.2,10.6,N,0
-18.4637,-62.0983,316.1,1.1,1.1,2015-01-05,0258,Terra,MODIS,92,6.2,290.7,16.4,N,0
-12.9829,-66.5695,323,1.1,1.1,2015-01-05,1818,Aqua,MODIS,74,6.2,300.1,13.9,D,0
-13.1903,-66.7219,322.2,1.1,1,2015-01-05,1818,Aqua,MODIS,73,6.2,299.2,11.4,D,0
-12.2681,-66.5212,327.6,1.1,1.1,2015-01-05,1818,Aqua,MODIS,80,6.2,297.5,20.3,D,0
-12.908,-66.8674,317.9,1.1,1,2015-01-05,1818,Aqua,MODIS,66,6.2,299.9,7.5,D,0
-12.5427,-65.5729,323.4,1.3,1.1,2015-01-05,1818,Aqua,MODIS,74,6.2,297.5,16.2,D,0
-13.1732,-66.6729,332.2,1.1,1,2015-01-05,1818,Aqua,MODIS,84,6.2,297.5,25.3,D,0
-11.7429,-66.9581,320.3,1.1,1.1,2015-01-05,1818,Aqua,MODIS,75,6.2,299.8,11.7,D,0
-12.9845,-66.5798,327.6,1.1,1.1,2015-01-05,1818,Aqua,MODIS,79,6.2,300.5,19.8,D,0
-11.7319,-66.9494,339.9,1.1,1.1,2015-01-05,1818,Aqua,MODIS,90,6.2,300.3,40.5,D,0
-12.2697,-66.5317,328.3,1.1,1.1,2015-01-05,1818,Aqua,MODIS,80,6.2,300.4,20.7,D,0
-11.7334,-66.9596,337.8,1.1,1.1,2015-01-05,1818,Aqua,MODIS,89,6.2,300.3,37,D,0
-13.1748,-66.6831,318.8,1.1,1,2015-01-05,1818,Aqua,MODIS,68,6.2,299.6,7.4,D,0
-13.1918,-66.732,321.7,1.1,1,2015-01-05,1818,Aqua,MODIS,73,6.2,298.9,11.4,D,0
-12.9813,-66.5592,325.7,1.1,1.1,2015-01-05,1818,Aqua,MODIS,77,6.2,299.5,18.3,D,0
-18.9864,-57.9082,309,2.5,1.5,2015-01-06,0203,Terra,MODIS,76,6.2,291.3,28.4,N,0
-18.9809,-57.9095,305.3,1.1,1,2015-01-06,0509,Aqua,MODIS,64,6.2,292.3,5.4,N,0
-18.9825,-57.8995,309.8,1.1,1,2015-01-06,0509,Aqua,MODIS,78,6.2,292.4,8.6,N,0
-17.356,-62.6063,310.6,1,1,2015-01-06,1434,Terra,MODIS,26,6.2,287.3,4.3,D,0
-18.0623,-59.7742,312.6,2,1.4,2015-01-06,1721,Aqua,MODIS,35,6.2,293.3,19.8,D,0
-19.5551,-63.1021,309,3.7,1.8,2015-01-06,1721,Aqua,MODIS,28,6.2,282.9,53.2,D,0
-19.5648,-63.1054,310.7,3.7,1.8,2015-01-06,1721,Aqua,MODIS,46,6.2,283,61.9,D,0
-16.1066,-61.4069,309.2,2.5,1.5,2015-01-06,1722,Aqua,MODIS,35,6.2,287.4,21.3,D,0
-15.0294,-61.0724,314.5,2.3,1.5,2015-01-06,1722,Aqua,MODIS,52,6.2,285.2,34.7,D,0
-17.7051,-61.8191,306.7,1,1,2015-01-07,0246,Terra,MODIS,69,6.2,287.9,6.4,N,0
-17.6995,-61.199,308.4,1,1,2015-01-07,0246,Terra,MODIS,74,6.2,292,7,N,0
-17.8156,-62.0173,306.5,1,1,2015-01-07,0246,Terra,MODIS,68,6.2,274.7,8.9,N,0
-17.8247,-62.0159,311.9,1,1,2015-01-07,0246,Terra,MODIS,84,6.2,275.9,12.4,N,0
-17.7037,-61.8097,303.3,1,1,2015-01-07,0246,Terra,MODIS,54,6.2,287.6,4.3,N,0
-18.9805,-57.9095,314.8,1.3,1.1,2015-01-07,0246,Terra,MODIS,90,6.2,293.3,16.4,N,0
-19.5522,-63.1002,320.5,1.1,1,2015-01-07,0246,Terra,MODIS,100,6.2,272,23.8,N,0
-18.9788,-57.9035,321.5,1.3,1.1,2015-01-07,0246,Terra,MODIS,100,6.2,293.6,25.5,N,0
-19.5578,-63.1038,318.9,1.1,1,2015-01-07,0246,Terra,MODIS,98,6.2,271.6,21.5,N,0
-19.5565,-63.0933,303.3,1.1,1,2015-01-07,0246,Terra,MODIS,54,6.2,271.6,8.1,N,0
-18.9808,-57.9155,303.8,1.3,1.1,2015-01-07,0246,Terra,MODIS,57,6.2,292.7,5.7,N,0
-18.9786,-57.8975,313.8,1.3,1.1,2015-01-07,0246,Terra,MODIS,88,6.2,293.3,15.4,N,0
-13.0487,-66.5355,311.2,2.4,1.5,2015-01-07,1516,Terra,MODIS,63,6.2,291.4,15.7,D,0
-21.8947,-63.3359,327.7,1,1,2015-01-07,1803,Aqua,MODIS,40,6.2,300,11.7,D,0
-21.8961,-63.3456,385.7,1,1,2015-01-07,1803,Aqua,MODIS,100,6.2,304.4,166,D,0
-21.8871,-63.3471,332.6,1,1,2015-01-07,1803,Aqua,MODIS,75,6.2,302,18.9,D,0
-18.6604,-62.8767,318.8,1.1,1,2015-01-07,1804,Aqua,MODIS,65,6.2,298.9,8.9,D,0
-19.5493,-63.0949,323.7,1,1,2015-01-07,1804,Aqua,MODIS,73,6.2,292.8,13.9,D,0
-13.18,-66.9706,316.7,1.1,1,2015-01-07,1805,Aqua,MODIS,61,6.2,295.5,9,D,0
-13.2794,-66.4305,317.6,1,1,2015-01-07,1805,Aqua,MODIS,32,6.2,296.3,7,D,0
-13.2768,-66.4118,322.8,1,1,2015-01-07,1805,Aqua,MODIS,75,6.2,299,12.2,D,0
-12.9803,-66.7876,318.2,1,1,2015-01-07,1806,Aqua,MODIS,69,6.2,296.5,7.8,D,0
-12.4684,-66.6154,318.7,1,1,2015-01-07,1806,Aqua,MODIS,69,6.2,297.5,8.1,D,0
-12.712,-66.778,317.1,1,1,2015-01-07,1806,Aqua,MODIS,45,6.2,297.5,6.1,D,0
-12.9816,-66.7971,331.4,1,1,2015-01-07,1806,Aqua,MODIS,84,6.2,298.2,23,D,0
-12.4606,-66.6261,327,1,1,2015-01-07,1806,Aqua,MODIS,74,6.2,298.2,16.3,D,0
-12.7732,-67.1495,315.2,1.1,1,2015-01-07,1806,Aqua,MODIS,26,6.2,297.5,9.2,D,0
-12.2724,-65.6835,326.9,1,1,2015-01-07,1806,Aqua,MODIS,76,6.2,297,15.3,D,0
-12.4697,-66.6247,324.9,1,1,2015-01-07,1806,Aqua,MODIS,78,6.2,295.6,15.1,D,0
-12.2737,-65.6926,332.1,1,1,2015-01-07,1806,Aqua,MODIS,84,6.2,297.7,21.3,D,0
-12.8343,-66.0108,319.2,1,1,2015-01-07,1806,Aqua,MODIS,69,6.2,298.3,9,D,0
-12.2801,-65.673,360.9,1,1,2015-01-07,1806,Aqua,MODIS,100,6.2,300,80.3,D,0
-12.7211,-66.7767,319.4,1,1,2015-01-07,1806,Aqua,MODIS,70,6.2,296.6,8.2,D,0
-12.5906,-65.5922,325.6,1,1,2015-01-07,1806,Aqua,MODIS,78,6.2,299.6,13.8,D,0
-13.0478,-66.5506,317.4,1,1,2015-01-07,1806,Aqua,MODIS,60,6.2,297.6,7.4,D,0
-11.7572,-65.5593,319.2,1,1,2015-01-07,1806,Aqua,MODIS,71,6.2,296,9.9,D,0
-11.7792,-66.6806,319.5,1,1,2015-01-07,1806,Aqua,MODIS,63,6.2,298.3,10.3,D,0
-12.5595,-66.6719,318.6,1,1,2015-01-07,1806,Aqua,MODIS,69,6.2,296.8,9.4,D,0
-11.7558,-65.5502,324.1,1,1,2015-01-07,1806,Aqua,MODIS,77,6.2,297.2,14.3,D,0
-12.9198,-66.2899,322.5,1,1,2015-01-07,1806,Aqua,MODIS,74,6.2,299.7,10.8,D,0
-11.7259,-65.4667,313.7,1,1,2015-01-07,1806,Aqua,MODIS,61,6.2,296.9,6.2,D,0
-12.5919,-65.6013,345.4,1,1,2015-01-07,1806,Aqua,MODIS,93,6.2,300.6,43.7,D,0
-12.8914,-66.2847,318.1,1,1,2015-01-07,1806,Aqua,MODIS,68,6.2,299,6.6,D,0
-12.5829,-65.6027,330.1,1,1,2015-01-07,1806,Aqua,MODIS,82,6.2,298.5,19.8,D,0
-17.8186,-62.0137,302.4,4,1.9,2015-01-08,0329,Terra,MODIS,49,6.2,285.6,31.9,N,0
-18.9773,-57.902,302,1.6,1.2,2015-01-08,0457,Aqua,MODIS,46,6.2,291.7,7.5,N,0
-15.6095,-60.962,330,1,1,2015-01-08,1421,Terra,MODIS,83,6.2,296.1,22.1,D,0
-16.229,-60.2667,316.5,1,1,2015-01-08,1421,Terra,MODIS,66,6.2,296.7,8.2,D,0
-17.7126,-61.2476,324.4,1,1,2015-01-08,1422,Terra,MODIS,73,6.2,300.5,12.1,D,0
-16.7113,-59.2213,323.8,1,1,2015-01-08,1422,Terra,MODIS,77,6.2,297.6,14.5,D,0
-18.9825,-57.9019,320,1.2,1.1,2015-01-08,1422,Terra,MODIS,41,6.2,300.1,12.9,D,0
-18.9988,-57.9377,323.9,2.5,1.5,2015-01-08,1708,Aqua,MODIS,77,6.2,295.4,56.5,D,0
-19.0073,-57.9415,317.7,2.5,1.5,2015-01-08,1708,Aqua,MODIS,67,6.2,295.5,33.6,D,0
-19.001,-57.933,304,1,1,2015-01-09,0233,Terra,MODIS,58,6.2,281.2,5.5,N,0
-18.0519,-62.1207,309.8,1.4,1.2,2015-01-09,0234,Terra,MODIS,78,6.2,285.1,14.3,N,0
-17.6682,-61.506,303.8,1.2,1.1,2015-01-09,0234,Terra,MODIS,57,6.2,286.8,6.5,N,0
-17.872,-62.1443,317.8,1.4,1.2,2015-01-09,0234,Terra,MODIS,96,6.2,283.5,23.8,N,0
-17.9499,-62.0369,301.9,1.3,1.2,2015-01-09,0234,Terra,MODIS,45,6.2,284.1,6.8,N,0
-17.8648,-62.1715,304,1.4,1.2,2015-01-09,0234,Terra,MODIS,58,6.2,284.7,8.5,N,0
-17.1729,-60.5196,310.3,1.1,1,2015-01-09,0234,Terra,MODIS,80,6.2,290.2,10,N,0
-18.6912,-58.7295,301.6,1,1,2015-01-09,0234,Terra,MODIS,43,6.2,273.4,5.4,N,0
-17.8632,-62.1586,307.3,1.4,1.2,2015-01-09,0234,Terra,MODIS,71,6.2,284.4,11.9,N,0
-18.4734,-59.212,330.6,1,1,2015-01-09,0234,Terra,MODIS,100,6.2,292.3,29,N,0
-18.5514,-58.3899,308.6,1,1,2015-01-09,0234,Terra,MODIS,75,6.2,270.6,10,N,0
-18.4747,-59.2216,320.3,1,1,2015-01-09,0234,Terra,MODIS,100,6.2,292,16.8,N,0
-18.0788,-61.9428,312.5,1.3,1.1,2015-01-09,0234,Terra,MODIS,85,6.2,288.1,16.5,N,0
-17.6667,-61.4943,301.8,1.2,1.1,2015-01-09,0234,Terra,MODIS,44,6.2,287.6,4.9,N,0
-18.0503,-62.1078,322.3,1.4,1.2,2015-01-09,0234,Terra,MODIS,100,6.2,285.6,31.2,N,0
-18.0624,-62.1193,317.5,1.4,1.2,2015-01-09,0234,Terra,MODIS,95,6.2,285.4,23,N,0
-18.0607,-62.1064,326.5,1.4,1.2,2015-01-09,0234,Terra,MODIS,100,6.2,286.8,37.6,N,0
-17.8145,-62.0227,301.7,1.3,1.1,2015-01-09,0234,Terra,MODIS,44,6.2,274.7,8.9,N,0
-18.0375,-61.9486,306.5,1.3,1.1,2015-01-09,0234,Terra,MODIS,65,6.2,286.9,9.2,N,0
-17.8248,-62.0213,328.8,1.3,1.1,2015-01-09,0234,Terra,MODIS,100,6.2,271.9,43.9,N,0
-18.0575,-62.1142,345,1.4,1.2,2015-01-09,0234,Terra,MODIS,100,6.2,286.5,81.6,N,0
-18.0803,-61.9554,307.6,1.3,1.1,2015-01-09,0234,Terra,MODIS,72,6.2,287.9,11.2,N,0
-17.8232,-62.0087,310.8,1.3,1.1,2015-01-09,0234,Terra,MODIS,81,6.2,270.8,17.4,N,0
-18.056,-62.1013,319.5,1.4,1.2,2015-01-09,0234,Terra,MODIS,99,6.2,286.2,25.8,N,0
-12.9529,-66.3264,305.6,2.3,1.5,2015-01-09,0235,Terra,MODIS,65,6.2,283.6,22.1,N,0
-12.5751,-67.518,304.7,1.7,1.3,2015-01-09,0539,Aqua,MODIS,61,6.2,275.6,15.3,N,0
-17.8732,-62.1364,310.2,1.1,1,2015-01-09,0540,Aqua,MODIS,66,6.2,289.7,9.3,N,0
-18.0518,-62.1031,300.2,1.1,1,2015-01-09,0540,Aqua,MODIS,14,6.2,273.5,5.2,N,0
-18.479,-59.2131,312.6,1.6,1.2,2015-01-09,0540,Aqua,MODIS,85,6.2,285.9,21.2,N,0
